,0,1,2,3,4
44,星記 (中環),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sing-kee-central,粵菜,"中環擺花街1號一號廣場2樓, Hong Kong, 香港",page - 3
45,農圃,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/farm-house,粵菜,"銅鑼灣新寧道8號中國太平大廈1樓, Hong Kong, 香港",page - 3
46,詠藜園,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/wing-lai-yuen,"滬菜, 滬菜","紅磡德安街7號黃埔花園第8期黃埔美食坊1樓102-105號舖, Hong Kong, 香港",page - 3
47,Locanda dell' Angelo,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/locanda-dell-angelo,意大利菜,"跑馬地源遠街12號, Hong Kong, 香港",page - 3
48,Involtini,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/involtini,意大利菜,"銅鑼灣駱克道459-461 號 The L. Square 11樓, Hong Kong, 香港",page - 3
49,鼎泰豐 (新港中心),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/din-tai-fung-silvercord,滬菜,"尖沙咀廣東道30號新港中心3樓306號舖, Hong Kong, 香港",page - 3
50,割烹凜,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kappo-rin,日本菜,"中環皇后大道中15號置地文華東方酒店7樓, Hong Kong, 香港",page - 3
51,媽咪雞蛋仔（加拿分道）,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/mammy-pancake,街頭小吃,"尖沙咀加拿分道8-12號, Hong Kong, 香港",page - 3
52,御寶軒 (尖沙咀),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/imperial-treasure-fine-chinese-cuisine,粵菜,"尖沙咀北京道1號10樓, Hong Kong, 香港",page - 3
53,阿純山東餃子,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ah-chun-shandong-dumpling,餃子,"太子荔枝角道60號, Hong Kong, 香港",page - 3
54,Whisk,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/whisk,時尚歐陸菜,"尖沙咀彌敦道118號The Mira 5樓, Hong Kong, 香港",page - 3
55,利苑酒家 (旺角),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lei-garden-mong-kok,粵菜,"旺角洗衣街121號, Hong Kong, 香港",page - 3
56,有緣小敍 (佐敦),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yau-yuen-siu-tsui-jordan,陝西菜,"佐敦文苑街36號地下, Hong Kong, 香港",page - 3
57,利苑酒家 (中環),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lei-garden-central,粵菜,"中環港景街1號國際金融中心商場3樓3008-3011號舖, Hong Kong, 香港",page - 3
